acordao,ementa,relator,comarca,orgao_julgador,data_julgamento,data_publicacao,outros_numeros
1025980-28.2020.8.26.0196,"Embargos de declaração contra acórdão que negou provimento a agravo interno, interposto contra decisão que denegou seguimento ao recurso extraordinário –  Tempestividade –  Discussão sobre o acerto do acórdão que negou provimento a agravo interno –  Natureza da gratificação de acúmulo de titularidade (GAT) devidamente analisada –  Ausência de omissão, contradição ou obscuridade a ser
											 	




Embargos de declaração contra acórdão que negou provimento a agravo interno, interposto contra decisão que denegou seguimento ao recurso extraordinário –  Tempestividade –  Discussão sobre o acerto do acórdão que negou provimento a agravo interno –  Natureza da gratificação de acúmulo de titularidade (GAT) devidamente analisada –  Ausência de omissão, contradição ou obscuridade a ser sanada –  Tentativa de rediscussão da matéria julgada –  Recurso improvido.",Julieta Maria Passeri de Souza,Franca,1ª Turma Recursal Cível,28/07/2023,01/08/2023,
1005642-21.2023.8.26.0554,"Embargos de declaração. Tributário. Imposto de renda incidente na fonte sobre rendimentos pagos a servidores públicos estaduais. Delegado de Polícia. Gratificação por Acúmulo de Titularidade (GAT). Omissão na apreciação da alegada coisa julgada. Demanda anterior em que afastado o abatimento do teto constitucional em relação àquela verba. Fundamento daquela sentença que não está
											 	




Embargos de declaração. Tributário. Imposto de renda incidente na fonte sobre rendimentos pagos a servidores públicos estaduais. Delegado de Polícia. Gratificação por Acúmulo de Titularidade (GAT). Omissão na apreciação da alegada coisa julgada. Demanda anterior em que afastado o abatimento do teto constitucional em relação àquela verba. Fundamento daquela sentença que não está sujeito à imutabilidade e nem projeta efeitos para fora daquele processo. Natureza remuneratória da verba reconhecida com base em precedente vinculante. Embargos acolhidos, sem efeito modificativo.",Alexandre Moron de Almeida,Santo André,1ª Turma Recursal - Fazenda Pública,31/07/2023,31/07/2023,
1006574-28.2022.8.26.0268,Embargos de declaração acolhidos. Delegado de Polícia. PUIL 0000016-85.2022.8.26.9021. GAT. Natureza remuneratória da verba. Incidência do teto remuneratório. Precedentes. Recurso inominado da FESP acolhido. Pretensão inicial julgada improcedente.,Djalma Moreira Gomes Junior,Itapecerica da Serra,"1ª Turma Cível, Criminal e Fazenda - Taboão da Serra",31/07/2023,31/07/2023,
1056414-70.2022.8.26.0053,"DELEGADO DE POLÍCIA - TETO CONSTITUCIONAL REMUNERATÓRIO - INCIDÊNCIA DO REDUTOR SALARIAL SOBRE A SOMATÓRIA DA GRATIFICAÇÃO DE ACÚMULO DE FUNÇÃO (GAT) COM A REMUNERAÇÃO DA AUTORA RECEBIDA EM RAZÃO DO CARGO TITULAR – IMPOSSIBILIDADE - VANTAGEM QUE É PAGA EM DECORRÊNCIA DE ACUMULAÇÃO DE FUNÇÕES DE TITULARIDADE DE OUTROS DELEGADOS DE POLÍCIA - APLICAÇÃO DA TESE JURÍDICA FIXADA
											 	





DELEGADO DE POLÍCIA - TETO CONSTITUCIONAL REMUNERATÓRIO - INCIDÊNCIA DO REDUTOR SALARIAL SOBRE A SOMATÓRIA DA GRATIFICAÇÃO DE ACÚMULO DE FUNÇÃO (GAT) COM A REMUNERAÇÃO DA AUTORA RECEBIDA EM RAZÃO DO CARGO TITULAR – IMPOSSIBILIDADE - VANTAGEM QUE É PAGA EM DECORRÊNCIA DE ACUMULAÇÃO DE FUNÇÕES DE TITULARIDADE DE OUTROS DELEGADOS DE POLÍCIA - APLICAÇÃO DA TESE JURÍDICA FIXADA PELO STF NO JULGAMENTO DO TEMA Nº 377 DE REPERCUSSÃO GERAL BENEFÍCIO QUE DEVE SER CONSIDERADO DE FORMA ISOLADA PARA A INCIDÊNCIA DO REDUTOR SALARIAL - AÇÃO PROCEDENTE SENTENÇA MANTIDA PELOS SEUS PRÓPRIOS FUNDAMENTOS - RECURSO DA FAZENDA IMPROVIDO",Fábio Fresca,São Paulo,2ª Turma - Fazenda Pública,31/07/2023,31/07/2023,
1000409-74.2022.8.26.0264,"ADMINISTRATIVO. Servidor público. Teto constitucional de remuneração inaplicável em caso de acumulação lícita de cargos públicos. Tema 377 do STF. Gratificação por Acúmulo de Titularidade (GAT) para Delegado de Polícia. Natureza indenizatória. Não inclusão no teto remuneratório. Sentença mantida por seus próprios fundamentos. Inteligência do art. 46 da Lei nº
											 	




ADMINISTRATIVO. Servidor público. Teto constitucional de remuneração inaplicável em caso de acumulação lícita de cargos públicos. Tema 377 do STF. Gratificação por Acúmulo de Titularidade (GAT) para Delegado de Polícia. Natureza indenizatória. Não inclusão no teto remuneratório. Sentença mantida por seus próprios fundamentos. Inteligência do art. 46 da Lei nº 9.099/1995. Recurso inominado improvido.",Alceu Corrêa Junior,Itajobi,Turma Recursal,31/07/2023,31/07/2023,
1002786-86.2022.8.26.0306,RECURSO INOMINADO. GRATIFICAÇÃO POR ACÚMULO DE TITULARIDADE (GAT). CARÁTER REMUNERATÓRIO. PUIL 0000016-85.2022.8.26.9021. RECLAMAÇÃO N.º 57.290 QUE AFASTOU AS HIPÓTESES DOS TEMAS 377 E 384 EM RELAÇÃO À GAT. RETENÇÃO DE TETO QUE DEVE SER REALIZADA. RECURSO PROVIDO,Sandro Nogueira de Barros Leite,José Bonifácio,1ª Turma Cível,31/07/2023,31/07/2023,
1005227-40.2022.8.26.0597,"Recurso da requerida visando a reforma da decisão de primeiro grau que reconheceu a verba GAT - Gratificação por Acúmulo de Atividade do Delegado de Polícia como verba indenizatória o não sujeita ao Redutor Salarial previsto na Emenda Constitucional nº 41/2003 - Sustenta a recorrente que tal verba tem contornos típicos de uma gratificação ""propter laborem faciendo"", ou seja, devida aos
											 	




Recurso da requerida visando a reforma da decisão de primeiro grau que reconheceu a verba GAT - Gratificação por Acúmulo de Atividade do Delegado de Polícia como verba indenizatória o não sujeita ao Redutor Salarial previsto na Emenda Constitucional nº 41/2003 - Sustenta a recorrente que tal verba tem contornos típicos de uma gratificação ""propter laborem faciendo"", ou seja, devida aos delegados de polícia designados, excepcionalmente, para responderem cumulativamente pelo comando de unidades e equipes operacionais e de plantão dos órgãos de execução da Polícia Civil, consequentemente, o pagamento por tal acúmulo de função tem natureza remuneratória do serviço prestado pelo delegado de polícia designado, certo, inclusive, que sobre tal verba incide o imposto de renda e também sujeita ao teto constitucional –  Tema levado à Turma de Uniformização, que ao julgar o PUIL 011 (Processo: nº 0000016-85.2022.8.26.9021) firmou a seguinte tese: ""É devida a incidência do imposto de renda pessoa física (IRPF)sobre o valor pago a título de 'Gratificação por Acúmulo de Titularidade - GAT' aos integrantes da carreira de Delegado(a) de Polícia (SP), dada a natureza remuneratória da aludida verba."" –  Recurso da requerida conhecido e provido.",Lúcio Alberto Eneas da Silva Ferreira,Sertãozinho,1ª Turma Cível,31/07/2023,31/07/2023,
1005285-74.2022.8.26.0037,"Agravo Interno. Interposição contra decisão que negou seguimento a Recurso Extraordinário interposto contra acórdão que, para efeito do teto constitucional, afastou a soma das remunerações recebidas por policial militar que concomitantemente dedicou-se ao magistério em cursos de formação da polícia militar. Acórdão adequado à orientação da Suprema Corte em sede de Repercussão Geral,
											 	




Agravo Interno. Interposição contra decisão que negou seguimento a Recurso Extraordinário interposto contra acórdão que, para efeito do teto constitucional, afastou a soma das remunerações recebidas por policial militar que concomitantemente dedicou-se ao magistério em cursos de formação da polícia militar. Acórdão adequado à orientação da Suprema Corte em sede de Repercussão Geral, resultando correta a denegação de abertura da via extraordinária. Decisão denegatória mantida. Agravo improvido.",Guilherme Augusto de Oliveira Barna,Araraquara,3ª Turma Cível,31/07/2023,31/07/2023,
1002448-79.2022.8.26.0220,"AGRAVO INTERNO. DIREITO CONSTITUCIONAL E PROCESSUAL CIVIL. DELEGADO DE POLÍCIA. GRATIFICAÇÃO POR ACÚMULO DE TITULARIDADE  (GAT). NEGATIVA DE SEGUIMENTO AO RECURSO EXTRAORDINÁRIO. EXISTÊNCIA DE DECISÃO RECENTE DO SUPREMO TRIBUNAL FEDERAL AFASTANDO A INCIDÊNCIA DOS TEMAS 377 E 384 PARA O CASO. SEGURANÇA JURÍDICA QUE IMPÕE O ACOLHIMENTO DO RECURSO. PROVIMENTO DO AGRAVO INTERNO PARA
											 	




AGRAVO INTERNO. DIREITO CONSTITUCIONAL E PROCESSUAL CIVIL. DELEGADO DE POLÍCIA. GRATIFICAÇÃO POR ACÚMULO DE TITULARIDADE  (GAT). NEGATIVA DE SEGUIMENTO AO RECURSO EXTRAORDINÁRIO. EXISTÊNCIA DE DECISÃO RECENTE DO SUPREMO TRIBUNAL FEDERAL AFASTANDO A INCIDÊNCIA DOS TEMAS 377 E 384 PARA O CASO. SEGURANÇA JURÍDICA QUE IMPÕE O ACOLHIMENTO DO RECURSO. PROVIMENTO DO AGRAVO INTERNO PARA DETERMINAR SEGUIMENTO DO RECURSO EXTRAORDINÁRIO.",Leonardo Delfino,Guaratinguetá,2ª Turma Cível e Criminal,31/07/2023,31/07/2023,
1000839-13.2022.8.26.0042,Recurso Inominado. Delegado de Polícia. GAT – Gratificação por Acúmulo de Função. Teto remuneratório. Não incidência. Temas nº 377 e nº 384 do STF. Redutor que deve incidir de forma isolada nas remunerações do cargo e da função cumuladas. Sentença de procedência mantida. Recurso não provido.,Fabio Marques Dias,Altinópolis,Turma Recursal Cível e Criminal,31/07/2023,31/07/2023,
1000673-64.2022.8.26.0370,"RECURSO INOMINADO. DELEGADO DE POLÍCIA. GRATIFICAÇÃO POR ACÚMULO DE TITULARIDADE - GAT. LEI COMPLEMENTAR ESTADUAL Nº 1.020/2007. VERBA DE CARÁTER REMUNERATÓRIO. PRECEDENTE RECENTE DO SUPREMO TRIBUNAL FEDERAL. ALTERAÇÃO DE ENTENDIMENTO PARA ADEQUAÇÃO AO SISTEMA DE PRECEDENTES E CONFERIR SEGURANÇA JURÍDICA. TETO CONSTITUCIONAL REMUNERATÓRIO (EC Nº 41/2003). APLICAÇÃO DO REDUTOR
											 	




RECURSO INOMINADO. DELEGADO DE POLÍCIA. GRATIFICAÇÃO POR ACÚMULO DE TITULARIDADE - GAT. LEI COMPLEMENTAR ESTADUAL Nº 1.020/2007. VERBA DE CARÁTER REMUNERATÓRIO. PRECEDENTE RECENTE DO SUPREMO TRIBUNAL FEDERAL. ALTERAÇÃO DE ENTENDIMENTO PARA ADEQUAÇÃO AO SISTEMA DE PRECEDENTES E CONFERIR SEGURANÇA JURÍDICA. TETO CONSTITUCIONAL REMUNERATÓRIO (EC Nº 41/2003). APLICAÇÃO DO REDUTOR SALARIAL.  RECURSO PROVIDO, PARA JULGAR IMPROCEDENTE A AÇÃO.",João Carlos Saud Abdala Filho,Monte Azul Paulista,Segunda Turma Cível,31/07/2023,31/07/2023,
1005218-12.2022.8.26.0037,"Embargos de declaração. Delegado de Polícia. Gratificação por Acúmulo de Titularidade - GAT. Questão enfrentada recentemente pelo STF na Reclamação nº 57.290/SP. Reconhecimento de que não há que se falar em acumulação de cargos e a verba em questão tem natureza remuneratória. Recente precedente da Turma de Uniformização dos Colégios Recursais do Estado de São Paulo no PUIL nº
											 	





Embargos de declaração. Delegado de Polícia. Gratificação por Acúmulo de Titularidade - GAT. Questão enfrentada recentemente pelo STF na Reclamação nº 57.290/SP. Reconhecimento de que não há que se falar em acumulação de cargos e a verba em questão tem natureza remuneratória. Recente precedente da Turma de Uniformização dos Colégios Recursais do Estado de São Paulo no PUIL nº 0000016-85.2022.8.26.9021. Incidência do teto remuneratório constitucional. Embargos improvidos.",Glariston Resende,Araraquara,4ª Turma Cível,31/07/2023,31/07/2023,
1005927-47.2022.8.26.0037,"Delegado de Polícia. Gratificação por Acúmulo de Titularidade - GAT. Questão enfrentada recentemente pelo STF na Reclamação nº 57.290/SP. Reconhecimento de que não há que se falar em acumulação de cargos e a verba em questão tem natureza remuneratória. Recente precedente da Turma de Uniformização dos Colégios Recursais do Estado de São Paulo no PUIL nº 0000016-85.2022.8.26.9021.
											 	




Delegado de Polícia. Gratificação por Acúmulo de Titularidade - GAT. Questão enfrentada recentemente pelo STF na Reclamação nº 57.290/SP. Reconhecimento de que não há que se falar em acumulação de cargos e a verba em questão tem natureza remuneratória. Recente precedente da Turma de Uniformização dos Colégios Recursais do Estado de São Paulo no PUIL nº 0000016-85.2022.8.26.9021. Incidência do teto remuneratório constitucional. Recurso provido para julgar improcedente a demanda.",Glariston Resende,Araraquara,4ª Turma Cível,31/07/2023,31/07/2023,
1028354-67.2022.8.26.0577,RECURSO INOMINADO FESP. Delegado de polícia. Cumulação de cargos públicos. Sentença que determinou a exclusão da verba Gratificação por Acúmulo de Titularidade (GAT) do cálculo limítrofe do Teto constitucional. Teto que deve ser aplicado de forma isolada para cada um dos cargos. Redução salarial indevida. Tema nº 377 do STF. Sentença mantida -–  RECURSO DESPROVIDO,Janaína Machado Conceição,São José dos Campos,Turma Recursal da Fazenda Pública,31/07/2023,31/07/2023,
1015444-91.2023.8.26.0053,"AGRAVO INTERNO. GAT - DELEGADO DE POLÍCIA. TETO REMUNERATÓRIO. DECISÃO QUE NEGOU SEGUIMENTO AO RECURSO EXTRAORDINÁRIO PELA CONSONÂNCIA DO ACÓRDÃO COM O DECIDIDO NO TEMA 377 e 384 DO STF. RECENTE DECISÃO MONOCRÁTICA DA LAVRA DO MIN. EDSON FACHIN, ACOLHENDO A RECLAMAÇÃO Nº 57.290, QUE ABRE DISSÍDIO EM RELAÇÃO AO ENTENDIMENTO ATÉ ENTÃO FIRMADO. AGRAVO INTERNO PROVIDO PARA,
											 	




AGRAVO INTERNO. GAT - DELEGADO DE POLÍCIA. TETO REMUNERATÓRIO. DECISÃO QUE NEGOU SEGUIMENTO AO RECURSO EXTRAORDINÁRIO PELA CONSONÂNCIA DO ACÓRDÃO COM O DECIDIDO NO TEMA 377 e 384 DO STF. RECENTE DECISÃO MONOCRÁTICA DA LAVRA DO MIN. EDSON FACHIN, ACOLHENDO A RECLAMAÇÃO Nº 57.290, QUE ABRE DISSÍDIO EM RELAÇÃO AO ENTENDIMENTO ATÉ ENTÃO FIRMADO. AGRAVO INTERNO PROVIDO PARA, REFORMANDO A DECISÃO AGRAVADA, DEVOLVER OS AUTOS E. PRESIDÊNCIA PARA QUE AGORA POSSA PROCEDER À REANÁLISE DA ADMISSIBILIDADE DO RECURSO EXTRAORDINÁRIO INTERPOSTO SOB A ÓTICA DOS DEMAIS REQUISITOS.",Danilo Mansano Barioni,São Paulo,4ª Turma - Fazenda Pública,31/07/2023,31/07/2023,
1006442-06.2022.8.26.0127,"AGRAVO INTERNO - DECISÃO QUE INADMITIU RECURSO EXTRAORDINÁRIO - ACÓRDÃO CONFLITANTE COM A DECISÃO PROFERIDA PELO MINISTRO EDSON FACHIN DO SUPREMO TRIBUNAL FEDERAL NO JULGAMENTO DA RECLAMAÇÃO Nº 57.290/SP - DELEGADO DE POLÍCIA - EXERCÍCIO DE FUNÇÃO DE DOCÊNCIA EM CURSOS MINISTRADOS NA POLÍCIA CIVIL - Ausência de cumulação de cargos - Único vínculo do beneficiário com o Estado de São Paulo – Não
											 	




AGRAVO INTERNO - DECISÃO QUE INADMITIU RECURSO EXTRAORDINÁRIO - ACÓRDÃO CONFLITANTE COM A DECISÃO PROFERIDA PELO MINISTRO EDSON FACHIN DO SUPREMO TRIBUNAL FEDERAL NO JULGAMENTO DA RECLAMAÇÃO Nº 57.290/SP - DELEGADO DE POLÍCIA - EXERCÍCIO DE FUNÇÃO DE DOCÊNCIA EM CURSOS MINISTRADOS NA POLÍCIA CIVIL - Ausência de cumulação de cargos - Único vínculo do beneficiário com o Estado de São Paulo – Não aplicação dos precedentes dos Temas 377 e 384 do STF -  Recurso prejudicado, com remessa do feito à Turma julgadora, para reexame e eventual aplicação da tese firmada, nos termos do artigo 1030, II, do Código de Processo Civil.",Fábio Luís Bossler,Carapicuíba,Turma da Fazenda Pública,28/07/2023,28/07/2023,
1013684-55.2022.8.26.0405,"EMBARGOS DE DECLARAÇÃO. SERVIDOR PÚBLICO ESTADUAL. Delegado de Polícia. Pretensão ao afastamento do redutor instituído pela EC n° 41/03 sobre a Gratificação por Acúmulo de Titularidade GAT, instituída pela Lei Complementar Estadual nº 1.020/2007. Inadmissibilidade. Não há cumulação de cargos, mas sim único vínculo do beneficiário, delegado de polícia, com o Estado de São Paulo.
											 	




EMBARGOS DE DECLARAÇÃO. SERVIDOR PÚBLICO ESTADUAL. Delegado de Polícia. Pretensão ao afastamento do redutor instituído pela EC n° 41/03 sobre a Gratificação por Acúmulo de Titularidade GAT, instituída pela Lei Complementar Estadual nº 1.020/2007. Inadmissibilidade. Não há cumulação de cargos, mas sim único vínculo do beneficiário, delegado de polícia, com o Estado de São Paulo. Precedentes do STF. Embargos de declaração providos.",Carolina Pereira de Castro,Osasco,Turma da Fazenda Pública,28/07/2023,28/07/2023,
1000630-30.2022.8.26.0370,Recurso inominado –  Fazenda Pública do Estado de São Paulo –  GAT –  Natureza remuneratória reconhecida no julgamento do PUIL 011 –  Incidência ao teto remuneratório –  Recurso provido.,Carlos Fakiani Macatti,Monte Azul Paulista,Primeira Turma Cível,27/07/2023,27/07/2023,
